"","OCC_CODE","OCC_TITLE","max_State","max_Wage","min_State","min_Wage","max_adj_State","max_adj_Wage","min_adj_State","min_adj_Wage"
"678","51-8099","Plant and System Operators, All Other","Tennessee",74410,"Wyoming",37310,"Alabama",84752.99,"Wyoming",38783.745
"679","51-9011","Chemical Equipment Operators and Tenders","Wyoming",74150,"Rhode Island",35050,"Wyoming",77078.925,"Connecticut",33280.611
"680","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Wyoming",71460,"Connecticut",19240,"Wyoming",74282.67,"Connecticut",17683.484
"681","51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Wyoming",70200,"Rhode Island",27380,"Wyoming",72972.9,"New Jersey",25800.236
"682","51-9022","Grinding and Polishing Workers, Hand","Vermont",41330,"Arkansas",21650,"Vermont",40838.173,"Hawaii",22458.126
"683","51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","Alaska",56160,"Utah",28010,"Alaska",53132.976,"California",26459.678
"684","51-9031","Cutters and Trimmers, Hand","Maine",39170,"Arizona",18850,"Maine",40341.183,"Arizona",19553.105
"685","51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders","Virginia",49570,"Hawaii",21600,"Louisiana",49015.68,"Hawaii",18493.92
"686","51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","West Virginia",40480,"New Mexico",18620,"West Virginia",45535.952,"New Mexico",19599.412
"687","51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Maryland",55710,"Vermont",20070,"South Dakota",53672.172,"Vermont",19831.167
"688","51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","Alaska",64570,"Alabama",28490,"Alaska",61089.677,"New Jersey",31416.198
"689","51-9071","Jewelers and Precious Stone and Metal Workers","Arkansas",53050,"New Mexico",26470,"Arkansas",60630.845,"Utah",27318.85
"690","51-9081","Dental Laboratory Technicians","District of Columbia",71510,"Delaware",26340,"District of Columbia",60547.517,"Delaware",25850.076
"691","51-9082","Medical Appliance Technicians","Oregon",52690,"Utah",22820,"Nebraska",57353.448,"Utah",23525.138
"692","51-9083","Ophthalmic Laboratory Technicians","Iowa",39140,"North Carolina",23020,"Iowa",43343.636,"Hawaii",21507.744
"693","51-9111","Packaging and Filling Machine Operators and Tenders","Wyoming",42550,"Florida",23330,"Wyoming",44230.725,"Hawaii",21208.074
"694","51-9121","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Maine",53290,"Idaho",26690,"Maine",54883.371,"Delaware",26507.614
"695","51-9122","Painters, Transportation Equipment","Connecticut",57570,"Mississippi",34090,"Missouri",53133.5,"Hawaii",32929.452
"696","51-9123","Painting, Coating, and Decorating Workers","District of Columbia",58430,"Oklahoma",21200,"District of Columbia",49472.681,"New Jersey",22909.282
"697","51-9151","Photographic Process Workers and Processing Machine Operators","Alaska",37970,"Montana",18930,"New Mexico",37356.774,"Montana",20096.088
"698","51-9191","Adhesive Bonding Machine Operators and Tenders","Washington",40660,"Michigan",24030,"Nebraska",40763.334,"New York",25038.771
"699","51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Wisconsin",36950,"Delaware",22880,"Wisconsin",39562.365,"Hawaii",21687.546
"700","51-9193","Cooling and Freezing Equipment Operators and Tenders","Illinois",53840,"Kentucky",21930,"Illinois",53463.12,"New Jersey",20516.166
"701","51-9194","Etchers and Engravers","Washington",44500,"Arizona",19440,"Washington",42871.3,"Arizona",20165.112
"702","51-9195","Molders, Shapers, and Casters, Except Metal and Plastic","Vermont",50370,"Alabama",23310,"Vermont",49770.597,"Texas",25041.488
